genre
Comedy
Crime
Family
Romance
Documentary
Musical
Mystery
Horror
Short
Action
Sci-Fi
Fantasy
Talk-Show
Adventure
Drama
War
Game-Show
Reality-TV
Film-Noir
Music
History
Thriller
Western
Animation
Adult
News
Biography
Sport
